term,estimate,std.error,conf.low,conf.high,model
year_f2013,-2.607614341175907,0.48930301730179865,-3.5666306326142108,-1.648598049737603,tweedie_plastic
year_f2014,-2.022371752456124,0.4645006135573461,-2.93277622582528,-1.1119672790869686,tweedie_plastic
year_f2015,-1.3050256711581139,0.40710429788680264,-2.1029354329677123,-0.5071159093485152,tweedie_plastic
year_f2016,-2.5513906007871814,0.46472691039535036,-3.462238607808641,-1.640542593765722,tweedie_plastic
year_f2017,-1.8887072797894442,0.4140859946725932,-2.700300915850171,-1.077113643728717,tweedie_plastic
year_f2018,-1.2977458772010741,0.42536895228263993,-2.131453703816585,-0.46403805058556324,tweedie_plastic
year_f2019,-0.85937657761735,0.4549539601171476,-1.7510699540708312,0.032316798836131255,tweedie_plastic
year_f2020,-1.5398086405491624,0.4375377434287752,-2.3973668595464885,-0.6822504215518365,tweedie_plastic
year_f2021,-1.8592038537760505,0.43640662589506907,-2.7145451231450304,-1.0038625844070703,tweedie_plastic
year_f2022,-0.9308782996446614,0.4314497053359095,-1.7765041832434627,-0.0852524160458602,tweedie_plastic
depth_sc,0.018112633410770716,0.20508835711166112,-0.38385316017657406,0.42007842699811554,tweedie_plastic
year_f2013,-2.8838631293272874,0.5970617242103735,-4.054082605327006,-1.7136436533275692,tweedie_sup
year_f2014,-2.93760090955972,0.5770849333419112,-4.068666594930564,-1.8065352241888766,tweedie_sup
year_f2015,-1.77514778150098,0.5361285017934178,-2.825940336101496,-0.7243552269004636,tweedie_sup
year_f2016,-3.51239116212146,0.6243748257246358,-4.736143333395218,-2.2886389908477014,tweedie_sup
year_f2017,-2.5546814052475564,0.5154680037035656,-3.564980127689304,-1.544382682805809,tweedie_sup
year_f2018,-2.5112948155607673,0.5203337058557105,-3.5311301389802177,-1.4914594921413167,tweedie_sup
year_f2019,-1.8251347841636036,0.4936394622384178,-2.7926503514986223,-0.8576192168285849,tweedie_sup
year_f2020,-1.9218080018621129,0.5044919996023373,-2.910594151571289,-0.9330218521529368,tweedie_sup
year_f2021,-1.9810407412712623,0.51124040627060785,-2.9830535250032786,-0.979027957539246,tweedie_sup
year_f2022,-1.1722087363903764,0.48877466947139636,-2.1301894851097822,-0.21422798767097062,tweedie_sup
depth_sc,0.03189756092894319,0.20519743464862242,-0.37028202070236804,0.4340771425602544,tweedie_sup
year_f2013,-6.477992514363667,0.846579969638728,-8.137258764888585,-4.818726263838748,tweedie_fishery
year_f2014,-3.2630265908314553,0.5765084236823899,-4.3929623380328975,-2.133090843630013,tweedie_fishery
year_f2015,-2.9900826247030756,0.455272768662284,-3.882400854422988,-2.0977643949831632,tweedie_fishery
year_f2016,-3.918705716361286,0.5011529684152306,-4.900947485200477,-2.936463947522095,tweedie_fishery
year_f2017,-3.548915385820814,0.4748193864121278,-4.479544282349991,-2.618286489291637,tweedie_fishery
year_f2018,-3.3612763422268204,0.47417115993614245,-4.290634738209241,-2.4319179462443996,tweedie_fishery
year_f2019,-3.563408068400832,0.5286222492506005,-4.599488638358564,-2.5273274984431,tweedie_fishery
year_f2020,-3.094437694866805,0.48423534361175397,-4.04352152838722,-2.14535386134639,tweedie_fishery
year_f2021,-4.180710206405605,0.5291204705033805,-5.217767272075118,-3.1436531407360917,tweedie_fishery
year_f2022,-4.439949023927678,0.5575978321631762,-5.532820692825113,-3.347077355030243,tweedie_fishery
depth_sc,-0.2430764845753849,0.2656907224715497,-0.7638207316460489,0.27766776249527914,tweedie_fishery
